Ingredient,Total_Quantity
Barbecue Chicken,843.9426540582284
Red Peppers,2813.142180194095
Green Peppers,1547.228199106752
Tomatoes,10971.254502756974
Red Onions,16316.22464512575
Barbecue Sauce,281.31421801940945
Bacon,3938.399052271732
Pepperoni,6095.141390420538
Italian Sausage,93.77140600646982
Chorizo Sausage,468.8570300323491
Brie Carre Cheese,281.31421801940945
Prosciutto,281.31421801940945
Caramelized Onions,150.0342496103517
Pears,93.77140600646982
Thyme,46.88570300323491
Garlic,5626.284360388192
nduja Salami,1125.2568720776378
Pancetta,1687.8853081164568
Friggitello Peppers,281.31421801940945
Chicken,14065.710900970476
Artichokes,2531.8279621746847
Spinach,6751.5412324658255
Jalapeno Peppers,843.9426540582284
Fontina Cheese,1125.2568720776378
Gouda Cheese,562.6284360388189
Mushrooms,7876.798104543466
Asiago Cheese,1687.8853081164568
Alfredo Sauce,421.9713270291142
Pesto Sauce,1687.8853081164568
Mozzarella Cheese,2813.142180194095
Provolone Cheese,281.31421801940945
Smoked Gouda Cheese,281.31421801940945
Romano Cheese,281.31421801940945
Blue Cheese,281.31421801940945
Ricotta Cheese,703.2855450485237
Gorgonzola Piccante Cheese,562.6284360388189
Parmigiano Reggiano Cheese,1406.5710900970473
Green Olives,1125.256872077638
Feta Cheese,3938.399052271732
Sliced Ham,843.9426540582283
Pineapple,1687.8853081164568
Capocollo,11252.56872077638
Goat Cheese,2250.5137441552756
Oregano,281.31421801940945
Calabrese Salami,2813.1421801940946
Eggplant,1125.2568720776378
Zucchini,1125.2568720776378
Kalamata Olives,1265.9139810873426
Sun-dried Tomatoes,562.6284360388189
Plum Tomatoes,1125.2568720776378
Cilantro,562.6284360388189
Corn,3750.8562402587927
Chipotle Sauce,1125.2568720776378
Anchovies,797.0569510549935
Genoa Salami,1687.8853081164568
Prosciutto di San Daniele,656.3998420452888
Arugula,281.31421801940945
Coarse Sicilian Salami,2250.5137441552756
Luganega Sausage,1125.2568720776378
Onions,562.6284360388189
Soppressata Salami,2813.1421801940946
Peperoncini verdi,281.31421801940945
Thai Sweet Chilli Sauce,562.6284360388189
Beef Chuck Roast,5344.970142368779
